iter	Passed	Remaining
392	51661	79792
393	51847	79744
394	51983	79620
395	52317	79797
396	52467	79691
397	52591	79548
398	52711	79398
399	52838	79257
400	53025	79207
401	53151	79066
402	53256	78893
403	53477	78892
404	53656	78829
405	53892	78848
406	54101	78826
407	54278	78757
408	54471	78711
409	54623	78604
410	54839	78589
411	55063	78586
412	55292	78587
413	55504	78564
414	55684	78495
415	55850	78405
416	56088	78416
417	56302	78392
418	56546	78410
419	56730	78342
420	56943	78314
421	57115	78229
422	57292	78150
423	57479	78085
424	57698	78062
425	57877	77985
426	58091	77954
427	58256	77857
428	58455	77804
429	58641	77734
430	58796	77621
431	58913	77460
432	59062	77340
433	59220	77232
434	59613	77429
435	60002	77617
436	60157	77502
437	60344	77427
438	60558	77388
439	60759	77330
440	60944	77251
441	61116	77155
442	61292	77065
443	61517	77035
444	61701	76953
445	61873	76856
446	62018	76725
447	62198	76638
448	62349	76513
449	62457	76337
450	62569	76165
451	62725	76047
452	62984	76053
453	63188	75993
454	63315	75839
455	63492	75745
456	63656	75635
457	63774	75471
458	63896	75311
459	64010	75143
460	64141	74994
461	64263	74834
462	64356	74641
463	64460	74462
464	64564	74283
465	64671	74108
466	64785	73941
467	64898	73773
468	64996	73589
469	65097	73407
470	65195	73224
471	65322	73072
472	65432	72902
473	65528	72717
474	65614	72521
475	65728	72356
476	65822	72169
477	65952	72023
478	66092	71887
479	66293	71817
480	66397	71642
481	66500	71466
482	66653	71345
483	66976	71404
484	67157	71312
485	67303	71181
486	67498	71101
487	67692	71021
488	67857	70910
489	68021	70797
490	68181	70680
491	68356	70579
492	68498	70443
493	68644	70311
494	68778	70168
495	69029	70142
496	69171	70006
497	69302	69858
498	69417	69695
499	69540	69540
500	69646	69368
501	69743	69187
502	69856	69023
503	69960	68850
504	70056	68668
505	70156	68493
506	70248	68308
507	70342	68126
508	70450	67958
509	70596	67828
510	70705	67661
511	70811	67492
512	70955	67359
513	71100	67227
514	71191	67044
515	71286	66865
516	71385	66691
517	71512	66542
518	71617	66374
519	71752	66233
520	71856	66064
521	71961	65896
522	72047	65710
523	72166	65555
524	72259	65377
525	72379	65223
526	72480	65053
527	72627	64924
528	72758	64781
529	72876	64626
530	72984	64462
531	73070	64280
532	73170	64110
533	73264	63934
534	73371	63771
535	73499	63626
536	73597	63455
537	73687	63278
538	73782	63105
539	73870	62926
540	73958	62748
541	74038	62564
542	74107	62370
543	74189	62188
544	74267	62002
545	74344	61817
546	74440	61648
547	74522	61467
548	74603	61286
549	74681	61103
550	74741	60905
551	74804	60710
552	74866	60515
553	74932	60324
554	74994	60130
555	75052	59934
556	75109	59736
557	75169	59543
558	75238	59356
559	75299	59164
560	75361	58972
561	75426	58784
562	75496	58600
563	75561	58412
564	75615	58217
565	75674	58025
566	75733	57835
567	75795	57646
568	75857	57459
569	75913	57267
570	75976	57081
571	76036	56894
572	76097	56708
573	76165	56526
574	76225	56340
575	76285	56154
576	76371	55987
577	76478	55837
578	76532	55648
579	76592	55463
580	76656	55282
581	76713	55096
582	76776	54915
583	76838	54734
584	76896	54550
585	76956	54368
586	77016	54187
587	77080	54008
588	77139	53827
589	77204	53650
590	77298	53494
591	77373	53325
592	77442	53152
593	77506	52975
594	77564	52795
595	77625	52618
596	77700	52451
597	77773	52282
598	77846	52114
599	77912	51941
600	77968	51762
601	78020	51581
602	78073	51401
603	78141	51231
604	78207	51061
605	78279	50894
606	78343	50723
607	78406	50551
608	78464	50377
609	78546	50218
610	78606	50045
611	78669	49875
612	78734	49706
613	78803	49541
614	78871	49375
615	78935	49206
616	78999	49038
617	79059	48868
618	79117	48697
619	79175	48527
620	79238	48359
621	79295	48189
622	79354	48020
623	79413	47851
624	79474	47684
625	79566	47536
626	79628	47370
627	79685	47202
628	79781	47057
629	79851	46896
630	79932	46743
631	79995	46579
632	80071	46423
633	80146	46267
634	80207	46103
635	80274	45943
636	80348	45787
637	80423	45632
638	80487	45471
639	80554	45311
640	80617	45151
641	80679	44989
642	80735	44825
643	80791	44660
644	80861	44505
645	80951	44360
646	81019	44203
647	81105	44057
648	81160	43893
649	81212	43729
650	81264	43565
651	81305	43396
652	81361	43235
653	81410	43070
654	81461	42907
655	81514	42745
656	81575	42588
657	81632	42429
658	81691	42271
659	81742	42109
660	81795	41949
661	81851	41791
662	81901	41630
663	81960	41474
664	82022	41319
665	82079	41163
666	82140	41008
667	82193	40850
668	82253	40696
669	82317	40544
670	82379	40391
671	82438	40237
672	82490	40080
673	82554	39930
674	82620	39780
675	82680	39627
676	82731	39471
677	82786	39317
678	82844	39164
679	82891	39007
680	82948	38855
681	83003	38702
682	83065	38552
683	83121	38401
684	83173	38247
685	83232	38097
686	83286	37945
687	83344	37795
688	83414	37651
689	83474	37503
690	83523	37350
691	83572	37196
692	83623	37045
693	83678	36895
694	83741	36750
695	83803	36603
696	83851	36451
697	83901	36301
698	83958	36153
699	84013	36005
700	84067	35857
701	84125	35711
702	84179	35563
703	84227	35413
704	84281	35266
705	84334	35119
706	84391	34974
707	84450	34829
708	84514	34687
709	84579	34546
710	84646	34406
711	84711	34265
712	84768	34121
713	84833	33981
714	84885	33835
715	84939	33690
716	85002	33550
717	85059	33407
718	85117	33265
719	85164	33119
720	85224	32978
721	85285	32838
722	85339	32695
723	85390	32552
724	85446	32410
725	85520	32276
726	85579	32136
727	85706	32022
728	85777	31887
729	85830	31745
730	85887	31605
731	85941	31464
732	86000	31326
733	86057	31186
734	86114	31047
735	86171	30909
736	86221	30768
737	86283	30631
738	86341	30494
739	86408	30359
740	86464	30221
741	86531	30087
742	86599	29954
743	86663	29819
744	86736	29688
745	86798	29553
746	86858	29417
747	86918	29282
748	86974	29146
749	87043	29014
750	87100	28878
751	87156	28743
752	87222	28610
753	87282	28476
754	87346	28344
755	87403	28209
756	87464	28076
757	87526	27943
758	87588	27811
759	87661	27682
760	87728	27552
761	87787	27419
762	87835	27283
763	87894	27150
764	87944	27015
765	87987	26878
766	88028	26741
767	88065	26602
768	88098	26463
769	88137	26326
770	88174	26189
771	88213	26052
772	88250	25915
773	88290	25779
774	88329	25643
775	88365	25507
776	88402	25371
777	88439	25235
778	88471	25098
779	88509	24964
780	88544	24828
781	88577	24692
782	88614	24558
783	88648	24423
784	88685	24289
785	88722	24156
786	88756	24021
787	88793	23888
788	88832	23756
789	88869	23623
790	88905	23490
791	88944	23359
792	88983	23227
793	89018	23095
794	89055	22963
795	89093	22833
796	89130	22701
797	89162	22570
798	89203	22440
799	89251	22312
800	89295	22184
801	89334	22055
802	89378	21927
803	89429	21801
804	89475	21674
805	89515	21545
806	89552	21417
807	89590	21288
808	89630	21161
809	89663	21032
810	89696	20903
811	89733	20775
812	89772	20648
813	89814	20522
814	89849	20395
815	89890	20269
816	89928	20143
817	89966	20016
818	90005	19891
819	90038	19764
820	90076	19639
821	90113	19513
822	90145	19387
823	90187	19263
824	90224	19138
825	90263	19014
826	90295	18888
827	90327	18763
828	90362	18639
829	90393	18514
830	90439	18392
831	90472	18268
832	90505	18144
833	90540	18021
834	90575	17898
835	90608	17774
836	90640	17651
837	90674	17528
838	90707	17406
839	90742	17284
840	90775	17162
841	90814	17041
842	90852	16920
843	90889	16799
844	90926	16678
845	90962	16558
846	90989	16436
847	91016	16314
848	91043	16192
849	91089	16074
850	91113	15952
851	91140	15831
852	91164	15710
853	91188	15589
854	91211	15468
855	91236	15348
856	91260	15227
857	91286	15108
858	91310	14988
859	91333	14868
860	91358	14748
861	91383	14629
862	91411	14511
863	91439	14393
864	91463	14274
865	91487	14156
866	91516	14038
867	91540	13920
868	91565	13803
869	91589	13685
870	91614	13568
871	91639	13451
872	91664	13334
873	91688	13218
874	91713	13101
875	91735	12985
876	91763	12869
877	91785	12753
878	91809	12638
879	91833	12522
880	91860	12407
881	91887	12293
882	91912	12178
883	91938	12064
884	91960	11949
885	91985	11835
886	92014	11722
887	92039	11608
888	92065	11495
889	92088	11381
890	92111	11268
891	92135	11155
892	92160	11042
893	92183	10930
894	92207	10817
895	92231	10705
896	92261	10594
897	92288	10482
898	92316	10371
899	92340	10260
900	92365	10148
901	92388	10037
902	92413	9926
903	92436	9816
904	92461	9705
905	92486	9595
906	92510	9485
907	92535	9375
908	92560	9266
909	92586	9156
910	92610	9047
911	92636	8938
912	92661	8829
913	92685	8720
914	92712	8612
915	92737	8504
916	92761	8396
917	92785	8288
918	92810	8180
919	92835	8072
920	92864	7965
921	92888	7858
922	92915	7751
923	92938	7644
924	92963	7537
925	92988	7431
926	93011	7324
927	93036	7218
928	93061	7112
929	93087	7006
930	93114	6901
931	93138	6795
932	93158	6689
933	93181	6584
934	93203	6479
935	93230	6374
936	93257	6270
937	93281	6165
938	93310	6061
939	93333	5957
940	93357	5853
941	93383	5749
942	93407	5646
943	93433	5542
944	93459	5439
945	93483	5336
946	93509	5233
947	93535	5130
948	93559	5027
949	93582	4925
950	93608	4823
951	93632	4720
952	93657	4618
953	93681	4517
954	93705	4415
955	93732	4314
956	93758	4212
957	93786	4111
958	93809	4010
959	93834	3909
960	93857	3808
961	93880	3708
962	93904	3607
963	93927	3507
964	93951	3407
965	93975	3307
966	93999	3207
967	94027	3108
968	94050	3008
969	94072	2909
970	94096	2810
971	94118	2711
972	94143	2612
973	94168	2513
974	94191	2415
975	94214	2316
976	94239	2218
977	94262	2120
978	94284	2022
979	94308	1924
980	94336	1827
981	94360	1729
982	94386	1632
983	94409	1535
984	94435	1438
985	94460	1341
986	94489	1244
987	94515	1147
988	94546	1051
989	94574	955
990	94607	859
991	94635	763
992	94665	667
993	94689	571
994	94718	475
995	94746	380
996	94770	285
997	94797	189
998	94822	94
999	94851	0
